epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2855.81,1.92233,1.08192,1.84449,0.70059,0.77016,0.73966,0.28276,2.1913,1.08459,2.16422,0.0023764,0.0023764,0.0023764
43,2923.19,1.92312,1.09673,1.8501,0.72314,0.7583,0.74064,0.28172,2.17004,1.08887,2.145,0.0023368,0.0023368,0.0023368
44,2990.35,1.92076,1.07161,1.84122,0.70687,0.76203,0.73862,0.27888,2.19312,1.08728,2.15989,0.0022972,0.0022972,0.0022972
45,3057.6,1.92384,1.07997,1.85113,0.70599,0.77228,0.73106,0.27478,2.18076,1.08704,2.16521,0.0022576,0.0022576,0.0022576
46,3124.9,1.9146,1.08449,1.84213,0.70934,0.77632,0.75537,0.28451,2.18027,1.08409,2.16534,0.002218,0.002218,0.002218
47,3192.22,1.91381,1.07948,1.83529,0.71312,0.75282,0.73596,0.27492,2.17935,1.09775,2.13532,0.0021784,0.0021784,0.0021784
48,3259.47,1.9228,1.07491,1.84323,0.70709,0.77666,0.73705,0.27741,2.19398,1.09378,2.16059,0.0021388,0.0021388,0.0021388
49,3326.68,1.91199,1.07403,1.84597,0.72446,0.75494,0.7574,0.28649,2.18981,1.06623,2.16077,0.0020992,0.0020992,0.0020992
50,3394.02,1.90895,1.0791,1.83766,0.70876,0.76025,0.74107,0.28066,2.18367,1.09258,2.16548,0.0020596,0.0020596,0.0020596
51,3461.18,1.90857,1.06544,1.83575,0.71366,0.75901,0.75127,0.28588,2.19228,1.05387,2.14764,0.00202,0.00202,0.00202
52,3528.4,1.89805,1.04762,1.82184,0.70812,0.76047,0.73479,0.27542,2.1926,1.08621,2.16441,0.0019804,0.0019804,0.0019804
53,3595.8,1.91114,1.03938,1.83707,0.69979,0.76233,0.71919,0.2712,2.19618,1.09244,2.17377,0.0019408,0.0019408,0.0019408
54,3665.36,1.88674,1.05962,1.83717,0.7148,0.7674,0.7379,0.27578,2.18723,1.0667,2.16346,0.0019012,0.0019012,0.0019012
55,3733.41,1.89397,1.04068,1.81314,0.70654,0.76543,0.74374,0.28164,2.19236,1.0881,2.14789,0.0018616,0.0018616,0.0018616
56,3800.94,1.90134,1.05036,1.82789,0.7159,0.77504,0.74615,0.27994,2.19374,1.05827,2.16712,0.001822,0.001822,0.001822
57,3868.4,1.88684,1.04255,1.82974,0.71467,0.77143,0.74897,0.28623,2.18096,1.06524,2.15834,0.0017824,0.0017824,0.0017824
58,3935.92,1.88433,1.03188,1.82853,0.70668,0.77228,0.75449,0.28461,2.18299,1.05098,2.16767,0.0017428,0.0017428,0.0017428
59,4003.46,1.8982,1.03185,1.84072,0.69599,0.76952,0.74318,0.27921,2.1876,1.08462,2.17021,0.0017032,0.0017032,0.0017032
60,4071.05,1.88832,1.0351,1.83207,0.70919,0.78671,0.74898,0.28182,2.20278,1.0616,2.18798,0.0016636,0.0016636,0.0016636
61,4138.63,1.87873,1.02185,1.81834,0.70327,0.77257,0.74395,0.27658,2.19842,1.07945,2.16998,0.001624,0.001624,0.001624
62,4206.26,1.87977,1.02342,1.82898,0.70443,0.78565,0.74507,0.27839,2.20785,1.06139,2.17926,0.0015844,0.0015844,0.0015844
63,4273.91,1.87515,1.02457,1.82547,0.69968,0.76146,0.74194,0.27642,2.21466,1.06041,2.19024,0.0015448,0.0015448,0.0015448
64,4341.51,1.87681,1.0229,1.82467,0.70844,0.78279,0.75083,0.28657,2.19943,1.05042,2.1892,0.0015052,0.0015052,0.0015052
65,4409.06,1.88081,1.01774,1.82853,0.70536,0.77884,0.73463,0.27645,2.202,1.05766,2.1794,0.0014656,0.0014656,0.0014656
66,4476.6,1.86897,1.01157,1.82683,0.71524,0.76401,0.75593,0.28399,2.2126,1.03838,2.20296,0.001426,0.001426,0.001426
67,4544.17,1.86793,0.99512,1.82113,0.72215,0.75891,0.7484,0.28151,2.21233,1.0505,2.18834,0.0013864,0.0013864,0.0013864
68,4611.76,1.87276,1.01452,1.81856,0.70797,0.77227,0.74741,0.2801,2.21133,1.06165,2.18171,0.0013468,0.0013468,0.0013468
69,4679.36,1.8735,1.00017,1.81676,0.70981,0.77553,0.75636,0.28536,2.20726,1.05164,2.18545,0.0013072,0.0013072,0.0013072
70,4746.97,1.86242,0.98916,1.81828,0.70408,0.77037,0.74426,0.27695,2.21306,1.06938,2.18953,0.0012676,0.0012676,0.0012676
71,4814.49,1.86749,1.01069,1.82294,0.7012,0.77542,0.73615,0.27501,2.21094,1.06701,2.18341,0.001228,0.001228,0.001228
72,4881.97,1.85202,0.98933,1.81693,0.70521,0.77425,0.74256,0.27951,2.21648,1.04601,2.20411,0.0011884,0.0011884,0.0011884
73,4949.52,1.86102,0.98582,1.81674,0.70581,0.76868,0.74287,0.2785,2.21765,1.04411,2.19815,0.0011488,0.0011488,0.0011488
74,5017.11,1.85949,0.99859,1.81518,0.69995,0.76983,0.74529,0.27896,2.22278,1.05286,2.20675,0.0011092,0.0011092,0.0011092
75,5084.62,1.85309,0.97948,1.80965,0.70972,0.76188,0.73892,0.27474,2.22635,1.05056,2.19836,0.0010696,0.0010696,0.0010696
76,5152.21,1.85751,0.98875,1.81339,0.71738,0.77247,0.75013,0.27934,2.23107,1.04308,2.21232,0.00103,0.00103,0.00103
77,5219.79,1.84533,0.97411,1.80725,0.71632,0.76549,0.75059,0.27718,2.22577,1.05378,2.2093,0.0009904,0.0009904,0.0009904
78,5287.41,1.84728,0.96539,1.80528,0.71668,0.77632,0.75216,0.2776,2.22852,1.04558,2.20375,0.0009508,0.0009508,0.0009508
79,5355,1.84013,0.96231,1.80056,0.71552,0.77238,0.7516,0.28288,2.22387,1.04266,2.19913,0.0009112,0.0009112,0.0009112
80,5422.58,1.84274,0.97321,1.80279,0.71349,0.77532,0.75529,0.28408,2.21585,1.03916,2.20262,0.0008716,0.0008716,0.0008716
81,5490.03,1.8319,0.95836,1.80047,0.71595,0.77016,0.75759,0.28043,2.22809,1.03865,2.2062,0.000832,0.000832,0.000832
82,5557.44,1.8164,0.94974,1.79552,0.71929,0.77328,0.7518,0.27792,2.238,1.03006,2.21963,0.0007924,0.0007924,0.0007924
83,5624.97,1.83183,0.97219,1.80325,0.72649,0.75986,0.75318,0.28338,2.21767,1.03303,2.20197,0.0007528,0.0007528,0.0007528
84,5692.32,1.81737,0.94746,1.79888,0.72575,0.77059,0.75546,0.28147,2.23399,1.02855,2.20962,0.0007132,0.0007132,0.0007132
85,5759.78,1.82292,0.94262,1.79706,0.71819,0.76825,0.75106,0.2762,2.24692,1.04246,2.22301,0.0006736,0.0006736,0.0006736
